LAST-NAME,FIRST-NAME,MIDDLE-NAME,STUDENT-ID,GRADE,PROGRAM-OF-STUDY,History,GPA,
ABBOTT,KEVIN,Madeleine,29024,12,Digital Communications,Pre-AP English I|Pre AP English II|AP English III Language and Composition|Journalism|Algebra I|Geometry|Algebra II|World Geography|AP World History|Biology|Chemistry|Physics|Principles of Arts; Audio/Video Technology; and Communications|Graphic Design and Illustration I|Graphic Design and Illustration II with Lab,4|4|4|4|4|3.5|3.5|3.5|4|3|3|3|3.5|3.5|3.5|4|3.5,47
AGUERO-SOTELO,JADON,Tristan,23423,12,Plant Science,Pre-AP English I|Pre AP English II|AP English III Language and Composition|Journalism|Algebra I|Geometry|Algebra II|World Geography|World History|Biology|Chemistry|Physics|Principles of Arts; Audio/Video Technology; and Communications|Graphic Design and Illustration I|Graphic Design and Illustration II with Lab,3.5|4|3.5|3.5|3.5|3|4|3.5|3.5|3.5|3|3.5|4|3.5,45
AGUILAR,JOSHUA,Blair,33630,9,Design and Multimedia Arts,0,,0
AGUILAR,KIONNA,Avery,22065,10,Plant Science,English I|English II|Algebra I|Geometry|World Geography|AP World History|Biology|Chemistry|Principles of Architecture|Architectural Design I,4|3|3|3|3|4|4|4|4|3.5,21
ALDACO,ROLANDO,Blayne,17149,10,Applied Agricultural Engineering,English I|English II|Algebra I|Geometry|World Geography|AP World History|Biology|Chemistry|Principles of Architecture|Architectural Design I,3.5|3.5|3.5|3.5|3|4,19
ALLEN,CORINNE,Kent,19287,9,Plant Science,0,,0
ALLISON,LUIS-ANGEL,Marguerite,2572,9,Welding,0,,0
ALMANZA,WILLIAM,Rene,15595,9,Plant Science,0,,0
ALVAREZ,KYRA,Finn,34548,9,Architectural Design,0,,0
ANDERSON,ANDY,Julian,25690,12,Design and Multimedia Arts,Pre-AP English I|Pre AP English II|AP English III Language and Composition|Algebra I|Geometry|Algebra II|World Geography|AP World History|Biology|Chemistry|Physics|Professional Communications|Audio/Video Production I|Audio/Video Production II|Principles of Arts; Audio/Video Technology; and Communications,4|4|4|3.5|3.5|3.5|3.5|3.5|3|3|4|4|3.5|3.5|3|4,45
ANZALDUA,RYAN,Robin,28695,10,Business Management,English I|English II|Algebra I|Geometry|World Geography|World History|Biology|Chemistry|Principles of Architecture|Architectural Design I,3.5|4|4|4|3.5|3|3.5,19
BAILEY,CARLOS,Lawrence,15069,9,Applied Agricultural Engineering,0,,0
BANKS,MONICA,Sophia,15086,9,Plant Science,0,,0
BARNETT,JUSTIN,Ann,22245,9,Accounting and Financial Services,0,,0
BARNETT,ELY,Felix,23090,9,Plant Science,0,,0
BARRON,JADON,Tanner,5447,11,Design and Multimedia Arts,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|World History|Biology|Chemistry|Physics|Principles of Architecture|Architectural Design I|Architectural Design II,4|4|3|3.5|3.5|4|4|4|3|3|3.5|3.5|4,33
BONNER,SELENA,Evelyn,7085,12,Plant Science,Pre-AP English I|Pre AP English II|AP English III Language and Composition|Algebra I|Geometry|Algebra II|World Geography|AP World History|Biology|Chemistry|Physics|Professional Communications|Audio/Video Production I|Audio/Video Production II|Principles of Arts; Audio/Video Technology; and Communications,3.5|3.5|3|3.5|4|4|3.5|4|4|4|3.5|3|3|3.5|4|3.5,45
BOURNE,PRICILA,Abraham,18917,10,Accounting and Financial Services,English I|Algebra I|World Geography|Biology|Professional Communications|Principles of Arts; Audio/Video Technology; and Communications,4|3|3.5|3.5|3|4|3.5,19
BRADFORD,NIYAH,Byron,28070,10,Design and Multimedia Arts,English I|Algebra I|World Geography|Biology|Professional Communications|Principles of Arts; Audio/Video Technology; and Communications,4|3.5|4|3|3.5|3.5,17
BRADY,ALEXANDRA,Mirabel,3354,10,Animal Science,English I| English II|Algebra I|Geometry|World Geography|AP World History|Biology|Chemistry|Introduction to Welding|Welding I,3.5|3.5|3.5|4|4|3,17
BRENNAN,GENESIS,Rose,19715,9,Business Management,0,,0
BRIAGAS,CAVECIA,Oren,28494,12,Plant Science,Pre-AP English I|Pre AP English II|AP English III Language and Composition|Journalism|Algebra I|Geometry|Algebra II|World Geography|World History|Biology|Chemistry|Physics|Principles of Agriculture; Food & Natural Resources|Agricultural Mechanics and Metal Technologies (NCCER Certification),4|4|4|4|4|4|3.5|3.5|3|3|3.5|3.5|4|4|4|3|3.5,43
BRIZUELA-CABALLERO,JOHN,Glenn,14746,10,Applied Agricultural Engineering,English I|Journalism|Algebra I|World Geography|Biology|Principles of Arts; Audio/Video Technology; and Communications,4|4|3|3|3.5|3.5,15
BROWN,KATHERINE,Emeline,31153,12,Digital Communications,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|AP World History|Biology|Chemistry|Physics|Principles of Agriculture; Food & Natural Resources|Samll Animal Management|Equine Science|Livestock Production|Advanced Animal Science|Veterinary Medical Applications,4|4|4|4|4|3.5|3|4|4|4|3|3|3.5|3.5|3.5|3|4,41
BURKE,ALEX,Elodie,22921,9,Welding,0,,0
BURNETT,DANIEL,Lashon,34315,9,Architectural Design,0,,0
BYRD,SERGIO,Gabriel,27019,11,Accounting and Financial Services,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|World History|Biology|Chemistry|Physics|Principles of Architecture|Architectural Design I|Electrical Technology I,3|3|3.5|3.5|4|4|3.5|3.5|3.5|3|3.5,33
CABRERA,FREDRIEL,Coralie,28852,10,Animal Science,Pre-AP English I|Algebra I|World Geography|Biology|Principles of Arts; Audio/Video Technology; and Communications,4|4|3|3.5|3.5|3,15
CANDLER,DAVONTA,Blake,6195,11,Architectural Design,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|World History|Biology|Chemistry|Physics|Principles of Architecture|Architectural Design I|Architectural Design II,4|3.5|3.5|3|3|4|4|4|3.5|3.5|3|3.5,33
CANTU GARCIA,ANGEL,Bianca,19133,9,Digital Communications,0,,0
CASTRO,MIA,Murphy,19621,9,Business Management,0,,0
CHAVEZ,ARIANA,Clark,30608,9,Business Management,0,,0
CLARK,BRIONNA,Damien,30909,10,Design and Multimedia Arts,Pre-AP English I|Journalism|Algebra I|World Geography|Biology|Principles of Agriculture; Food & Natural Resources,4|4|3|3|3.5|3.5,15
CLARK,DARIUES,Lynn,33602,11,Architectural Design,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|World History|Biology|Chemistry|Physics|Business Information Management I|Business Law|Human Resources Management,3|4|4|3|3.5|3.5|3.5|3|4|4|3|3.5,31
CLAYTON,NICHOLAS,Lucinda,33898,12,Design and Multimedia Arts,Pre-AP English I|Pre AP English II|AP English III Language and Composition|Algebra I|Geometry|Algebra II|World Geography|World History|Biology|Chemistry|Physics|Principles of Agriculture; Food & Natural Resources|Agricultural Mechanics and Metal Technologies (NCCER Certification),4|3|3|3.5|3.5|3.5|4|4|4|3|3|3.5|3.5|4|4|3,41
CONTRERAS,KIMBERLY,Levi,30419,9,Plant Science,0,,0
CONTRERAS,MAKALLIA,Raven,8035,10,Architectural Design,Pre-AP English I|Journalism|Algebra I|World Geography|Biology|Principles of Agriculture; Food & Natural Resources,3|3.5|3.5|3.5|4,15
CROSSEN,TUBOBELEM,Oren,4924,11,Business Management,English I|English II|Algebra I|Geometry|World Geography|AP World History|Biology|Chemistry|Principles of Business; Marketing; and Finance|Accounting I|Business Information Management I,4|4|4|3.5|3.5|3.5|3.5|3|4|3.5|3,31
CUNNINGHAM,MARLEN,Trey,15115,9,Applied Agricultural Engineering,0,,0
CUNNINGHAM,KEVIN,Dex,4512,12,Welding,English I|English II|English III|Journalism|Algebra I|Geometry|Algebra II|World Geography|World History|Biology|Chemistry|Physics|Professional Communications|Audio/Video Production I|Audio/Video Production II|Principles of Arts; Audio/Video Technology; and Communications,4|4|3.5|4|4|4|4|3.5|3.5|3.5|3|3.5|3.5|3.5,41
DANIELS,YVONNE,Drake,15235,9,Digital Communications,0,,0
DAVIS,GEMA,Charles,15126,9,Animal Science,0,,0
DELGADO,MAURICIO,Coy,4868,10,Applied Agricultural Engineering,Pre-AP English I|Journalism|Algebra I|World Geography|Biology|Principles of Agriculture; Food & Natural Resources,3.5|3.5|3.5|4|4,15
DIAZ,JOSE,Natalie,5798,12,Architectural Design,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|AP World History|Biology|Chemistry|Physics|Professional Communications|Audio/Video Production I|Audio/Video Production II|Principles of Arts; Audio/Video Technology; and Communications,4|3|4|4|4|4|4|3.5|3.5|3.5|3.5|3.5|3|4|3|4,41
EVANS,IVAN,Blair,14966,9,Design and Multimedia Arts,0,,0
FIGUEROA,JORDAN,Dawn,15134,9,Business Management,0,,0
FISHER,KATHERINE,Marcellus,25831,10,Design and Multimedia Arts,English I|Journalism|Algebra I|World Geography|Biology|Principles of Agriculture; Food & Natural Resources,4|3.5|3.5|3.5|3,15
FLETCHER,JONATHAN,Riley,5204,10,Digital Communications,English I|Algebra I|World Geography|Biology|Principles of Arts; Audio/Video Technology; and Communications,4|3|3.5|3.5|3.5,15
FOX,ERIK,Brendon,32218,12,Plant Science,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|AP World History|Biology|Chemistry|Physics|Professional Communications|Audio/Video Production I|Audio/Video Production II|Principles of Arts; Audio/Video Technology; and Communications,4|4|4|3|3.5|3.5|3.5|4|4|3|3.5|3.5|4|3|3.5,41
FRUTIZ,CHAD,Luke,14761,9,Welding,0,,0
GARCIA,ERIC,Claudia,27952,9,Animal Science,0,,0
GARCIA,JAVOY,Dean,28910,9,Applied Agricultural Engineering,0,,0
GARCIA,ANAYA,Justin,33221,9,Electrical,0,,0
GARCIA,KANTAPONG,Ricardo,34038,10,Accounting and Financial Services,English I|Algebra I|World Geography|Biology|Principles of Arts; Audio/Video Technology; and Communications,4|3.5|3.5|4|3.5,15
GARCIA CRUZ,ANTHONY,Marcella,26608,9,Applied Agricultural Engineering,0,,0
GARZA,JAVARIUS,Caprice,32071,9,Applied Agricultural Engineering,0,,0
GAUCIN,MARQUISTE,Louisa,22255,11,Architectural Design,English I|English II|Algebra I|Geometry|World Geography|World History|Biology|Chemistry|Principles of Arts; Audio/Video Technology; and Communications|Graphic Design and Illustration I,4|4|3|3.5|3.5|3|3|4|4|4|3.5|3.5,31
GIBSON,YENITZA,Amity,15267,9,Accounting and Financial Services,0,,0
GODINEZ GODINEZ,JO-ELLA,Bram,18569,10,Animal Science,English I|Algebra I|World Geography|Biology|Principles of Arts; Audio/Video Technology; and Communications,4|4|3|3|3.5|3.5,15
GOMEZ JIMENEZ,LIZBETH,Porter,34558,10,Applied Agricultural Engineering,Pre-AP English I|Algebra I|World Geography|Biology|Principles of Agriculture; Food & Natural Resources,4|3|3.5|3.5|4,13
GONZALES,BRITNEY,Amelia,19611,12,Architectural Design,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|AP World History|Biology|Chemistry|Physics|Principles of Arts; Audio/Video Technology; and Communications|Graphic Design and Illustration I|Graphic Design and Illustration II with Lab,4|4|3|3|3.5|3.5|3|3.5|4|4|4|3.5|3|3.5|3.5,41
