LAST-NAME,FIRST-NAME,MIDDLE-NAME,STUDENT-ID,INTERNAL-ID,GRADE,PHONE_NUMBER,GENDER,GRADYEAR,ADDRESS,SECOND_PHONE,BIRTHDATE,THIRD_PHONE,EMAIL_ADDRESS,DUAL-CREDIT-ELIGIBLE,PROGRAM-OF-STUDY
ABBOTT,KEVIN,Madeleine,29024,267131,12,(591) 383-8569,M,2022,39 Cambridge Ave.,(797) 620-1241,2/11/2004,(974) 458-7712,fairbank@outlook.com,FALSE,Digital Communications
ABBOTT,SARAH,Ace,8248,142403,10,(766) 887-4461,F,2024,895 Bradford St.,(811) 851-9033,2/19/2006,(878) 247-5530,kempsonc@msn.com,FALSE,Healthcare Diagnostics
AGUERO-SOTELO,JADON,Tristan,23423,239975,12,(447) 677-1046,M,2022,66 East Street,(851) 254-0537,1/19/2004,(799) 223-5286,dprice@outlook.com,TRUE,Plant Science
AGUILAR,JOSHUA,Blair,33630,287547,9,(569) 665-2564,M,2025,176 Sleepy Hollow St.,(231) 886-6657,1/8/2007,(395) 396-3765,bruck@gmail.com,FALSE,Design and Multimedia Arts
AGUILAR,NOEL,Anise,32855,284214,12,(410) 691-8600,M,2022,21 State St.,(254) 648-2750,3/17/2004,(204) 368-5317,guialbu@yahoo.com,TRUE,Diesel and Heavy Equipment
AGUILAR,DANIELLE,Rory,31230,277097,11,(764) 823-0881,F,2023,3 Clark Ave.,(841) 574-5703,9/2/2005,(565) 998-1663,mchugh@optonline.net,TRUE,Legal Studies
AGUILAR,KIONNA,Avery,22065,232915,10,(384) 624-1433,F,2024,704 West Wagon St.,(630) 359-7777,2/9/2006,(367) 954-3207,denton@mac.com,FALSE,Plant Science
AGUILAR GONZALEZ,ZION,Ryder,4885,109591,12,(605) 572-9963,M,2022,9696 S. Grandrose St.,(870) 269-2971,11/1/2004,(514) 295-5129,dmath@hotmail.com,FALSE,Programming and Software Development
AGUILAR HERNANDEZ,MYKAILA,William,28934,266716,12,(857) 518-9927,F,2022,39 Center Court,(656) 880-5102,3/17/2004,(721) 311-6837,cisugrad@mac.com,FALSE,Culinary Arts
AGUILERA SANTOS,CHRISTIAN,Chase,5036,111272,11,(571) 704-4688,M,2023,96 Hillside Street,(240) 360-3135,11/8/2005,(380) 843-0576,solomon@verizon.net,FALSE,Healthcare Informatics
AGUIRRE,CHRISTIAN,Myron,28782,266015,10,(523) 829-4151,M,2024,42 Valley Street,(995) 819-2218,6/27/2006,(769) 353-0842,rbarreira@mac.com,FALSE,Engineering
ALCANTAR,MIGUEL,Blaise,28580,265080,11,(682) 399-4952,M,2023,45 Bank St.,(244) 394-9707,8/14/2005,(853) 912-3200,zwood@aol.com,FALSE,Automotive
ALDACO,ROLANDO,Blayne,17149,205336,10,(341) 645-1971,M,2024,780 South Courtland Court,(806) 477-6043,1/20/2006,(579) 929-6102,bogjobber@msn.com,FALSE,Architectural Design
ALLEN,AIMEE,Tobias,33406,286588,12,(974) 928-3612,F,2022,189 Durham Rd.,(211) 604-0359,11/24/2004,(459) 342-6591,stewwy@me.com,FALSE,Healthcare Diagnostics
