LAST-NAME,FIRST-NAME,MIDDLE-NAME,STUDENT-ID,INTERNAL-ID,GRADE,PHONE_NUMBER,GENDER,GRADYEAR,ADDRESS,SECOND_PHONE,BIRTHDATE,THIRD_PHONE,EMAIL_ADDRESS,DUAL-CREDIT-ELIGIBLE,PROGRAM-OF-STUDY,HISTORY,SCHEDULE
ABBOTT,KEVIN,Madeleine,29024,267131,12,(591) 383-8569,M,2022,39 Cambridge Ave.,(797) 620-1241,2/11/2004,(974) 458-7712,fairbank@outlook.com,FALSE,Digital Communications,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Professional Communications;Audio/Video Production I;Audio/Video Production II;Principles of Arts Audio/Video Technology and Communications,null;null;null;null;null;null;null;null
AGUERO-SOTELO,JADON,Tristan,23423,239975,12,(447) 677-1046,M,2022,66 East Street,(851) 254-0537,1/19/2004,(799) 223-5286,dprice@outlook.com,TRUE,Plant Science,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Principles of Agriculture Food & Natural Resources;Horticultural Science;Floral Design,null;null;null;null;null;null;null;null
AGUILAR,JOSHUA,Blair,33630,287547,9,(569) 665-2564,M,2025,176 Sleepy Hollow St.,(231) 886-6657,1/8/2007,(395) 396-3765,bruck@gmail.com,FALSE,Design and Multimedia Arts,null,null;null;null;null;null;null;null;null
AGUILAR,KIONNA,Avery,22065,232915,10,(384) 624-1433,F,2024,704 West Wagon St.,(630) 359-7777,2/9/2006,(367) 954-3207,denton@mac.com,FALSE,Plant Science,English I;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
ALDACO,ROLANDO,Blayne,17149,205336,10,(341) 645-1971,M,2024,780 South Courtland Court,(806) 477-6043,1/20/2006,(579) 929-6102,bogjobber@msn.com,FALSE,Applied Agricultural Engineering,English I;Journalism;Algebra I;World Geography;Biology;Principles of Agriculture Food & Natural Resources,null;null;null;null;null;null;null;null
ALLEN,CORINNE,Kent,19287,217760,9,(428) 684-6370,F,2025,74 West Anderson Street,(636) 459-1321,7/14/2007,(586) 635-4720,fraterk@icloud.com,FALSE,Plant Science,null,null;null;null;null;null;null;null;null
ALLISON,LUIS-ANGEL,Marguerite,2572,79520,9,(942) 229-3313,M,2025,9991 La Sierra Street,(770) 669-5673,7/4/2007,(473) 816-6864,aprakash@outlook.com,FALSE,Welding,null,null;null;null;null;null;null;null;null
ALMANZA,WILLIAM,Rene,15595,195811,9,(349) 959-2269,M,2025,801 N. Cardinal Dr.,(333) 371-6946,9/23/2007,(966) 896-3980,paina@aol.com,FALSE,Plant Science,null,null;null;null;null;null;null;null;null
ALVAREZ,KYRA,Finn,34548,291445,9,(772) 355-7715,F,2025,10 Paris Hill Rd.,(252) 648-8266,6/18/2007,(568) 302-5828,jginspace@att.net,FALSE,Architectural Design,null,null;null;null;null;null;null;null;null
ANDERSON,ANDY,Julian,25690,251320,12,(628) 433-1573,M,2022,605 Beech St.,(918) 557-6588,12/21/2004,(348) 542-7889,frostman@att.net,FALSE,Design and Multimedia Arts,English I;English II;English III;Algebra I;Geometry;Algebra II;World Geography;AP World History;Biology;Chemistry;Physics;Principles of Arts Audio/Video Technology and Communications;Graphic Design and Illustration I;Graphic Design and Illustration II with Lab,null;null;null;null;null;null;null;null
